country_code,country_name,region,forecast_year,horizon,predicted_enrollment,lower_bound,upper_bound,model_version,scenario
BJ,Benin,Other,2032,15,3186549,2931625,3441473,v1.2.0,baseline
BJ,Benin,Other,2033,15,3186549,2931625,3441473,v1.2.0,baseline
BJ,Benin,Other,2034,15,3186549,2931625,3441473,v1.2.0,baseline
BJ,Benin,Other,2035,15,3186549,2931625,3441473,v1.2.0,baseline
BJ,Benin,Other,2036,15,3186549,2931625,3441473,v1.2.0,baseline
BJ,Benin,Other,2037,15,3186549,2931625,3441473,v1.2.0,baseline
BJ,Benin,Other,2038,15,3186549,2931625,3441473,v1.2.0,baseline
BJ,Benin,Other,2039,15,3186549,2931625,3441473,v1.2.0,baseline
BJ,Benin,Other,2025,5,3203838,2947531,3460145,v1.2.0,optimistic
BJ,Benin,Other,2026,5,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2027,5,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2028,5,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2029,5,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2025,10,3203838,2947531,3460145,v1.2.0,optimistic
BJ,Benin,Other,2026,10,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2027,10,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2028,10,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2029,10,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2030,10,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2031,10,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2032,10,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2033,10,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2034,10,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2025,15,3203838,2947531,3460145,v1.2.0,optimistic
BJ,Benin,Other,2026,15,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2027,15,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2028,15,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2029,15,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2030,15,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2031,15,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2032,15,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2033,15,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2034,15,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2035,15,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2036,15,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2037,15,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2038,15,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2039,15,3227538,2969335,3485741,v1.2.0,optimistic
BJ,Benin,Other,2025,5,3186549,2931625,3441473,v1.2.0,pessimistic
BJ,Benin,Other,2026,5,3186549,2931625,3441473,v1.2.0,pessimistic
BJ,Benin,Other,2027,5,3186549,2931625,3441473,v1.2.0,pessimistic
BJ,Benin,Other,2028,5,3179260,2924919,3433601,v1.2.0,pessimistic
BJ,Benin,Other,2029,5,3179260,2924919,3433601,v1.2.0,pessimistic
BJ,Benin,Other,2025,10,3186549,2931625,3441473,v1.2.0,pessimistic
BJ,Benin,Other,2026,10,3186549,2931625,3441473,v1.2.0,pessimistic
BJ,Benin,Other,2027,10,3186549,2931625,3441473,v1.2.0,pessimistic
BJ,Benin,Other,2028,10,3179260,2924919,3433601,v1.2.0,pessimistic
BJ,Benin,Other,2029,10,3179260,2924919,3433601,v1.2.0,pessimistic
BJ,Benin,Other,2030,10,3179260,2924919,3433601,v1.2.0,pessimistic
BJ,Benin,Other,2031,10,3179260,2924919,3433601,v1.2.0,pessimistic
BJ,Benin,Other,2032,10,3179260,2924919,3433601,v1.2.0,pessimistic
BJ,Benin,Other,2033,10,3179260,2924919,3433601,v1.2.0,pessimistic
BJ,Benin,Other,2034,10,3179260,2924919,3433601,v1.2.0,pessimistic
BJ,Benin,Other,2025,15,3186549,2931625,3441473,v1.2.0,pessimistic
BJ,Benin,Other,2026,15,3186549,2931625,3441473,v1.2.0,pessimistic
BJ,Benin,Other,2027,15,3186549,2931625,3441473,v1.2.0,pessimistic
BJ,Benin,Other,2028,15,3179260,2924919,3433601,v1.2.0,pessimistic
BJ,Benin,Other,2029,15,3179260,2924919,3433601,v1.2.0,pessimistic
BJ,Benin,Other,2030,15,3179260,2924919,3433601,v1.2.0,pessimistic
BJ,Benin,Other,2031,15,3179260,2924919,3433601,v1.2.0,pessimistic
BJ,Benin,Other,2032,15,3179260,2924919,3433601,v1.2.0,pessimistic
BJ,Benin,Other,2033,15,3179260,2924919,3433601,v1.2.0,pessimistic
BJ,Benin,Other,2034,15,3179260,2924919,3433601,v1.2.0,pessimistic
BJ,Benin,Other,2035,15,3179260,2924919,3433601,v1.2.0,pessimistic
BJ,Benin,Other,2036,15,3179260,2924919,3433601,v1.2.0,pessimistic
BJ,Benin,Other,2037,15,3179260,2924919,3433601,v1.2.0,pessimistic
BJ,Benin,Other,2038,15,3179260,2924919,3433601,v1.2.0,pessimistic
BJ,Benin,Other,2039,15,3179260,2924919,3433601,v1.2.0,pessimistic
BM,Bermuda,Other,2025,5,42974,39536,46411,v1.2.0,baseline
BM,Bermuda,Other,2026,5,46163,42470,49856,v1.2.0,baseline
BM,Bermuda,Other,2027,5,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2028,5,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2029,5,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2025,10,42974,39536,46411,v1.2.0,baseline
BM,Bermuda,Other,2026,10,46163,42470,49856,v1.2.0,baseline
BM,Bermuda,Other,2027,10,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2028,10,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2029,10,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2030,10,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2031,10,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2032,10,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2033,10,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2034,10,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2025,15,42974,39536,46411,v1.2.0,baseline
BM,Bermuda,Other,2026,15,46163,42470,49856,v1.2.0,baseline
BM,Bermuda,Other,2027,15,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2028,15,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2029,15,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2030,15,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2031,15,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2032,15,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2033,15,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2034,15,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2035,15,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2036,15,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2037,15,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2038,15,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2039,15,49270,45329,53212,v1.2.0,baseline
BM,Bermuda,Other,2025,5,42974,39536,46411,v1.2.0,optimistic
BM,Bermuda,Other,2026,5,46163,42470,49856,v1.2.0,optimistic
BM,Bermuda,Other,2027,5,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2028,5,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2029,5,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2025,10,42974,39536,46411,v1.2.0,optimistic
BM,Bermuda,Other,2026,10,46163,42470,49856,v1.2.0,optimistic
BM,Bermuda,Other,2027,10,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2028,10,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2029,10,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2030,10,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2031,10,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2032,10,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2033,10,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2034,10,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2025,15,42974,39536,46411,v1.2.0,optimistic
BM,Bermuda,Other,2026,15,46163,42470,49856,v1.2.0,optimistic
BM,Bermuda,Other,2027,15,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2028,15,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2029,15,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2030,15,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2031,15,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2032,15,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2033,15,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2034,15,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2035,15,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2036,15,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2037,15,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2038,15,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2039,15,49270,45329,53212,v1.2.0,optimistic
BM,Bermuda,Other,2025,5,42974,39536,46411,v1.2.0,pessimistic
BM,Bermuda,Other,2026,5,46163,42470,49856,v1.2.0,pessimistic
BM,Bermuda,Other,2027,5,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2028,5,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2029,5,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2025,10,42974,39536,46411,v1.2.0,pessimistic
BM,Bermuda,Other,2026,10,46163,42470,49856,v1.2.0,pessimistic
BM,Bermuda,Other,2027,10,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2028,10,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2029,10,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2030,10,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2031,10,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2032,10,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2033,10,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2034,10,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2025,15,42974,39536,46411,v1.2.0,pessimistic
BM,Bermuda,Other,2026,15,46163,42470,49856,v1.2.0,pessimistic
BM,Bermuda,Other,2027,15,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2028,15,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2029,15,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2030,15,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2031,15,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2032,15,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2033,15,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2034,15,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2035,15,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2036,15,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2037,15,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2038,15,49270,45329,53212,v1.2.0,pessimistic
BM,Bermuda,Other,2039,15,49270,45329,53212,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2025,5,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2026,5,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2027,5,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2028,5,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2029,5,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2025,10,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2026,10,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2027,10,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2028,10,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2029,10,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2030,10,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2031,10,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2032,10,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2033,10,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2034,10,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2025,15,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2026,15,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2027,15,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2028,15,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2029,15,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2030,15,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2031,15,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2032,15,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2033,15,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2034,15,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2035,15,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2036,15,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2037,15,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2038,15,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2039,15,83609,76920,90298,v1.2.0,baseline
BN,Brunei Darussalam,Other,2025,5,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2026,5,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2027,5,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2028,5,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2029,5,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2025,10,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2026,10,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2027,10,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2028,10,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2029,10,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2030,10,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2031,10,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2032,10,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2033,10,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2034,10,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2025,15,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2026,15,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2027,15,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2028,15,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2029,15,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2030,15,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2031,15,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2032,15,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2033,15,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2034,15,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2035,15,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2036,15,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2037,15,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2038,15,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2039,15,83609,76920,90298,v1.2.0,optimistic
BN,Brunei Darussalam,Other,2025,5,83609,76920,90298,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2026,5,83609,76920,90298,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2027,5,83609,76920,90298,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2028,5,83609,76920,90298,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2029,5,83609,76920,90298,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2025,10,83609,76920,90298,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2026,10,83609,76920,90298,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2027,10,83609,76920,90298,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2028,10,83609,76920,90298,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2029,10,83609,76920,90298,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2030,10,83609,76920,90298,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2031,10,81667,75134,88200,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2032,10,81667,75134,88200,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2033,10,81667,75134,88200,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2034,10,81667,75134,88200,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2025,15,83609,76920,90298,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2026,15,83609,76920,90298,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2027,15,83609,76920,90298,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2028,15,83609,76920,90298,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2029,15,83609,76920,90298,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2030,15,83609,76920,90298,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2031,15,81667,75134,88200,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2032,15,81667,75134,88200,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2033,15,81667,75134,88200,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2034,15,81667,75134,88200,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2035,15,81667,75134,88200,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2036,15,81667,75134,88200,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2037,15,81667,75134,88200,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2038,15,81667,75134,88200,v1.2.0,pessimistic
BN,Brunei Darussalam,Other,2039,15,81667,75134,88200,v1.2.0,pessimistic
BO,Bolivia,Other,2025,5,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2026,5,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2027,5,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2028,5,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2029,5,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2025,10,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2026,10,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2027,10,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2028,10,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2029,10,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2030,10,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2031,10,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2032,10,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2033,10,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2034,10,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2025,15,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2026,15,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2027,15,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2028,15,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2029,15,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2030,15,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2031,15,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2032,15,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2033,15,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2034,15,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2035,15,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2036,15,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2037,15,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2038,15,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2039,15,2619031,2409509,2828554,v1.2.0,baseline
BO,Bolivia,Other,2025,5,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2026,5,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2027,5,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2028,5,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2029,5,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2025,10,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2026,10,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2027,10,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2028,10,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2029,10,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2030,10,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2031,10,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2032,10,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2033,10,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2034,10,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2025,15,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2026,15,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2027,15,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2028,15,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2029,15,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2030,15,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2031,15,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2032,15,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2033,15,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2034,15,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2035,15,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2036,15,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2037,15,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2038,15,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2039,15,2619031,2409509,2828554,v1.2.0,optimistic
BO,Bolivia,Other,2025,5,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2026,5,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2027,5,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2028,5,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2029,5,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2025,10,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2026,10,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2027,10,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2028,10,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2029,10,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2030,10,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2031,10,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2032,10,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2033,10,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2034,10,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2025,15,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2026,15,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2027,15,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2028,15,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2029,15,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2030,15,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2031,15,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2032,15,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2033,15,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2034,15,2619031,2409509,2828554,v1.2.0,pessimistic
BO,Bolivia,Other,2035,15,2631422,2420909,2841936,v1.2.0,pessimistic
BO,Bolivia,Other,2036,15,2631422,2420909,2841936,v1.2.0,pessimistic
BO,Bolivia,Other,2037,15,2631422,2420909,2841936,v1.2.0,pessimistic
BO,Bolivia,Other,2038,15,2631422,2420909,2841936,v1.2.0,pessimistic
BO,Bolivia,Other,2039,15,2631422,2420909,2841936,v1.2.0,pessimistic
BR,Brazil,Other,2025,5,39690108,36514899,42865317,v1.2.0,baseline
BR,Brazil,Other,2026,5,39690108,36514899,42865317,v1.2.0,baseline
BR,Brazil,Other,2027,5,39690108,36514899,42865317,v1.2.0,baseline
BR,Brazil,Other,2028,5,39056596,35932068,42181124,v1.2.0,baseline
BR,Brazil,Other,2029,5,39056596,35932068,42181124,v1.2.0,baseline
BR,Brazil,Other,2025,10,39690108,36514899,42865317,v1.2.0,baseline
BR,Brazil,Other,2026,10,39690108,36514899,42865317,v1.2.0,baseline
BR,Brazil,Other,2027,10,39690108,36514899,42865317,v1.2.0,baseline
